Title,Genre,IMDBScore,Rank_Within_Genre
"Come Sunday",Biopic,6,9
Barry,Biopic,5.8,10
Ludo,Comedy,7.6,1
"The Fundamentals of Caring",Comedy,7.3,2
Seventeen,Comedy,7.2,3
"The 40-Year-Old Version",Comedy,7.2,3
"Rose Island",Comedy,7,5
"The Christmas Chronicles",Comedy,7,5
"The Lonely Island Presents: The Unauthorized Bash Brothers Experience",Comedy,6.9,7
Pagglait,Comedy,6.9,7
"The Meyerowitz Stories (New and Selected)",Comedy,6.9,7
"Death to 2020",Comedy,6.8,10
"Brij Mohan Amar Rahe",Comedy,6.8,10
Tallulah,Comedy,6.7,12
"Just Another Christmas",Comedy,6.7,12
"Bad Trip",Comedy,6.6,14
Chopsticks,Comedy,6.5,15
"The Incredible Jessica James",Comedy,6.5,15
"The Heartbreak Club",Comedy,6.4,17
"Nappily Ever After",Comedy,6.4,17
"The Laundromat",Comedy,6.3,19
"The Babysitter",Comedy,6.3,19
"Porta dos Fundos: The Last Hangover",Comedy,6.3,19
"Get the Goat",Comedy,6.3,19
"Feel the Beat",Comedy,6.3,19
"Crazy Awesome Teachers",Comedy,6.2,24
"Win It All",Comedy,6.2,24
"Have You Ever Seen Fireflies?",Comedy,6.2,24
"Like Father",Comedy,6.1,27
"Work It",Comedy,6.1,27
"Between Two Ferns: The Movie",Comedy,6.1,27
Otherhood,Comedy,6.1,27
"War Machine",Comedy,6,31
"The Christmas Chronicles: Part Two",Comedy,6,31
"Murder Mystery",Comedy,6,31
"The Polka King",Comedy,5.9,34
"Small Crimes",Comedy,5.8,35
"Rajma Chawal",Comedy,5.8,35
"Candy Jar",Comedy,5.8,35
15-Aug,Comedy,5.8,35
"The Babysitter: Killer Queen",Comedy,5.8,35
"The After Party",Comedy,5.8,35
"Little Evil",Comedy,5.7,41
Lionheart,Comedy,5.7,41
"The Wrong Missy",Comedy,5.7,41
"El Camino Christmas",Comedy,5.7,41
"Yes Day",Comedy,5.7,41
"Double Dad",Comedy,5.6,46
"Brahman Naman",Comedy,5.6,46
"The Sleepover",Comedy,5.6,46
"The Last Laugh",Comedy,5.6,46
"Bomb Scared",Comedy,5.6,46
"Step Sisters",Comedy,5.5,51
"House Arrest",Comedy,5.5,51
"A Very Murray Christmas",Comedy,5.5,51
"Get the Grift",Comedy,5.5,51
"Wine Country",Comedy,5.5,51
"The Package",Comedy,5.5,51
"The Legacy of a Whitetail Deer Hunter",Comedy,5.5,51
"Unicorn Store",Comedy,5.5,51
Naked,Comedy,5.4,59
"A Babysitter's Guide to Monster Hunting",Comedy,5.4,59
"Despite Everything",Comedy,5.4,59
"Back to School",Comedy,5.3,62
"Girlfriend's Day",Comedy,5.2,63
"Sandy Wexler",Comedy,5.2,63
"Father of the Year",Comedy,5.2,63
Ibiza,Comedy,5.2,63
"Tall Girl",Comedy,5.2,63
"Handsome: A Netflix Mystery Movie",Comedy,5.2,63
"The Week Of",Comedy,5.2,63
"Hubie Halloween",Comedy,5.2,63
#REALITYHIGH,Comedy,5.2,63
Dude,Comedy,5.1,72
"Coffee & Kareem",Comedy,5.1,72
"Airplane Mode",Comedy,5,74
"The Main Event",Comedy,4.8,75
"Take the 10",Comedy,4.8,75
"The Players",Comedy,4.6,77
"5 Star Christmas",Comedy,4.6,77
"Porta dos Fundos: The First Temptation of Christ",Comedy,4.6,77
"Seriously Single",Comedy,4.5,80
"The Misadventures of Hedi and Cokeman",Comedy,4.5,80
Sextuplets,Comedy,4.4,82
"Thunder Force",Comedy,4.4,82
"What Happened to Mr. Cha?",Comedy,4.3,84
"Sardar Ka Grandson",Comedy,4.1,85
"Leyla Everlasting",Comedy,3.7,86
"Taylor Swift: Reputation Stadium Tour","Concert Film",8.4,1
"Ben Platt: Live from Radio City Music Hall","Concert Film",8.4,1
"Justin Timberlake + The Tennessee Kids","Concert Film",7.7,3
"Barbra: The Music, The Mem'ries, The Magic!","Concert Film",7.5,4
"Shawn Mendes: Live in Concert","Concert Film",7.4,5
"Ariana Grande: Excuse Me, I Love You","Concert Film",6.4,6
"David Attenborough: A Life on Our Planet",Documentary,9,1
"Emicida: AmarElo - It's All For Yesterday",Documentary,8.6,2
"Winter on Fire: Ukraine's Fight for Freedom",Documentary,8.4,3
"Dancing with the Birds",Documentary,8.3,4
