Index,Accident_Severity,Accident Date,Latitude,Light_Conditions,District Area,Longitude,Number_of_Casualties,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200701BS70596,Slight,26/10/2019,51.509127,Darkness - lights lit,Kensington and Chelsea,-0.195565,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70597,Serious,5/10/2019,51.517749,Daylight,Kensington and Chelsea,-0.200701,1,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70598,Slight,19/10/2019,51.484349,Daylight,Kensington and Chelsea,-0.186605,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200701BS70600,Slight,19/09/2019,51.482079,Darkness - lights lit,Kensington and Chelsea,-0.173589,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70601,Slight,5/11/2019,51.487657,Darkness - lights lit,Kensington and Chelsea,-0.168036,1,2,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70603,Slight,22/09/2019,51.48615,Darkness - lights lit,Kensington and Chelsea,-0.169393,2,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70604,Serious,6/11/2019,51.497015,Daylight,Kensington and Chelsea,-0.168381,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70606,Slight,6/11/2019,51.502134,Daylight,Kensington and Chelsea,-0.191086,1,1,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70607,Slight,6/1/2019,51.513744,Darkness - lights lit,Kensington and Chelsea,-0.203453,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70608,Slight,29/10/2019,51.490351,Daylight,Kensington and Chelsea,-0.162022,1,2,Dry,Single carriageway,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
200701BS70609,Slight,29/09/2019,51.482074,Daylight,Kensington and Chelsea,-0.173301,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Taxi/Private hire car
200701BS70610,Slight,8/11/2019,51.500738,Daylight,Kensington and Chelsea,-0.193879,1,2,Dry,Dual carriageway,Urban,Fine no high winds,Other vehicle
200701BS70611,Serious,27/10/2019,51.484361,Daylight,Kensington and Chelsea,-0.175802,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70612,Serious,9/11/2019,51.494319,Darkness - lights lit,Kensington and Chelsea,-0.174252,1,2,Dry,One way street,Urban,Fine no high winds,Taxi/Private hire car
200701BS70613,Slight,31/10/2019,51.484887,Daylight,Kensington and Chelsea,-0.174917,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70614,Slight,2/11/2019,51.48217,Darkness - lights lit,Kensington and Chelsea,-0.17949,1,1,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70615,Slight,1/11/2019,51.494613,Darkness - lights lit,Kensington and Chelsea,-0.193257,2,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70617,Slight,31/10/2019,51.497288,Darkness - lights lit,Kensington and Chelsea,-0.197617,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70618,Slight,18/10/2019,51.509374,Daylight,Kensington and Chelsea,-0.194114,1,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70619,Slight,19/11/2019,51.522078,Daylight,Westminster,-0.201539,1,2,Wet or damp,Single carriageway,Urban,Other,Motorcycle 125cc and under
200701BS70620,Slight,12/11/2019,51.487637,Daylight,Kensington and Chelsea,-0.178264,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70621,Slight,27/10/2019,51.482582,Daylight,Kensington and Chelsea,-0.171264,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70622,Slight,12/11/2019,51.504764,Darkness - lights lit,Hammersmith and Fulham,-0.216054,1,2,Dry,Roundabout,Urban,Fine no high winds,Car
200701BS70623,Slight,28/10/2019,51.523887,Darkness - lights lit,Kensington and Chelsea,-0.21401,1,2,Wet or damp,Roundabout,Urban,Raining no high winds,Motorcycle over 125cc and up to 500cc
200701BS70624,Slight,9/11/2019,51.498153,Darkness - lights lit,Kensington and Chelsea,-0.183752,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70625,Slight,12/11/2019,51.495202,Daylight,Kensington and Chelsea,-0.178971,1,1,Dry,Dual carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70626,Slight,13/11/2019,51.484361,Daylight,Kensington and Chelsea,-0.175802,1,2,Dry,Single carriageway,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
200701BS70627,Slight,16/11/2019,51.489214,Daylight,Kensington and Chelsea,-0.164084,1,1,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70629,Slight,8/11/2019,51.491951,Darkness - lights lit,Kensington and Chelsea,-0.201429,1,2,Wet or damp,Dual carriageway,Urban,Raining no high winds,Car
200701BS70630,Slight,10/11/2019,51.493084,Darkness - lights lit,Kensington and Chelsea,-0.199079,5,3,Dry,Dual carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70631,Slight,9/11/2019,51.495361,Daylight,Kensington and Chelsea,-0.177668,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 50cc and under
200701BS70632,Slight,20/11/2019,51.516658,Daylight,Kensington and Chelsea,-0.205789,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle 125cc and under
200701BS70633,Slight,15/11/2019,51.516749,Daylight,Kensington and Chelsea,-0.20002,1,3,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70634,Slight,19/11/2019,51.490546,Daylight,Kensington and Chelsea,-0.186071,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70635,Slight,19/11/2019,51.523059,Daylight,Kensington and Chelsea,-0.206834,1,1,Wet or damp,Roundabout,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70636,Slight,12/11/2019,51.481746,Daylight,Kensington and Chelsea,-0.17533,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70637,Slight,10/11/2019,51.51417,Daylight,Kensington and Chelsea,-0.20776,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70638,Slight,3/11/2019,51.482074,Daylight,Kensington and Chelsea,-0.173301,1,3,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200701BS70639,Slight,26/11/2019,51.492655,Daylight,Kensington and Chelsea,-0.200393,1,1,Dry,Dual carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70640,Slight,22/11/2019,51.48166,Daylight,Kensington and Chelsea,-0.181383,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70641,Slight,24/11/2019,51.4975,Darkness - lights lit,Kensington and Chelsea,-0.159141,1,2,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70642,Slight,19/11/2019,51.494902,Darkness - lights lit,Kensington and Chelsea,-0.182872,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70643,Slight,27/11/2019,51.504784,Daylight,Kensington and Chelsea,-0.193863,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Goods 7.5 tonnes mgw and over
200701BS70644,Slight,18/11/2019,51.489306,Darkness - lights lit,Kensington and Chelsea,-0.175749,1,3,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70645,Slight,21/11/2019,51.523238,Darkness - lights lit,Kensington and Chelsea,-0.206827,1,2,Wet or damp,Roundabout,Urban,Raining no high winds,Bus or coach (17 or more pass seats)
200701BS70647,Slight,27/11/2019,51.527783,Daylight,Westminster,-0.215876,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70648,Slight,23/11/2019,51.497015,Darkness - lights lit,Kensington and Chelsea,-0.168381,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70650,Slight,26/11/2019,51.483301,Daylight,Kensington and Chelsea,-0.176997,1,1,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70652,Slight,15/11/2019,51.517386,Daylight,Kensington and Chelsea,-0.206337,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70653,Slight,5/11/2019,51.484977,Daylight,Kensington and Chelsea,-0.174913,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70654,Slight,29/11/2019,51.503958,Darkness - lights lit,Kensington and Chelsea,-0.21623,1,1,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70655,Slight,20/10/2019,51.483603,Daylight,Kensington and Chelsea,-0.184906,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70657,Slight,12/6/2019,51.505512,Daylight,Kensington and Chelsea,-0.21199,1,2,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70658,Slight,28/11/2019,51.484875,Daylight,Kensington and Chelsea,-0.18572,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70659,Serious,22/11/2019,51.515928,Daylight,Kensington and Chelsea,-0.205097,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70660,Slight,5/11/2019,51.516875,Darkness - lights lit,Kensington and Chelsea,-0.21414,1,1,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70662,Slight,28/11/2019,51.507123,Daylight,Kensington and Chelsea,-0.205587,2,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70663,Slight,1/12/2019,51.498826,Darkness - lights lit,Kensington and Chelsea,-0.19237,1,2,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70664,Slight,18/11/2019,51.487452,Darkness - lights lit,Kensington and Chelsea,-0.195412,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Taxi/Private hire car
200701BS70666,Slight,4/12/2019,51.491661,Daylight,Kensington and Chelsea,-0.15952,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70667,Slight,6/12/2019,51.495745,Darkness - lights lit,Kensington and Chelsea,-0.196669,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Taxi/Private hire car
200701BS70669,Slight,20/11/2019,51.493995,Darkness - lights lit,Kensington and Chelsea,-0.182332,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle over 500cc
200701BS70670,Slight,3/12/2019,51.491964,Daylight,Kensington and Chelsea,-0.161669,1,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70671,Slight,30/11/2019,51.495858,Darkness - lights lit,Kensington and Chelsea,-0.192343,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70672,Serious,3/11/2019,51.490753,Darkness - lights lit,Kensington and Chelsea,-0.182029,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 50cc and under
200701BS70673,Slight,30/11/2019,51.523668,Darkness - lights lit,Kensington and Chelsea,-0.217334,3,3,Wet or damp,Single carriageway,Urban,Raining no high winds,Goods 7.5 tonnes mgw and over
200701BS70674,Slight,5/12/2019,51.497015,Darkness - lights lit,Kensington and Chelsea,-0.168381,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70675,Slight,4/12/2019,51.490863,Daylight,Kensington and Chelsea,-0.177559,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70676,Slight,6/12/2019,51.497671,Darkness - lights lit,Kensington and Chelsea,-0.20495,1,3,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle over 500cc
200701BS70678,Slight,21/11/2019,51.493269,Daylight,Kensington and Chelsea,-0.181929,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70679,Slight,13/12/2019,51.492337,Darkness - lights lit,Kensington and Chelsea,-0.156756,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70680,Slight,21/11/2019,51.495204,Daylight,Kensington and Chelsea,-0.179115,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70681,Slight,7/12/2019,51.514399,Darkness - lights lit,Kensington and Chelsea,-0.199248,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70683,Slight,7/12/2019,51.501749,Darkness - lights lit,Westminster,-0.160555,1,2,Dry,Dual carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70684,Slight,28/11/2019,51.502208,Daylight,Kensington and Chelsea,-0.213561,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70685,Slight,30/11/2019,51.490534,Daylight,Kensington and Chelsea,-0.191113,1,1,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70686,Slight,29/11/2019,51.52278,Darkness - lights lit,Kensington and Chelsea,-0.206269,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle over 500cc
200701BS70687,Slight,1/12/2019,51.500282,Daylight,Kensington and Chelsea,-0.211043,1,2,Dry,Dual carriageway,Urban,Fine no high winds,Car
200701BS70688,Slight,1/12/2019,51.523754,Daylight,Kensington and Chelsea,-0.217042,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70689,Slight,2/12/2019,51.483603,Daylight,Kensington and Chelsea,-0.184906,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70690,Serious,14/12/2019,51.485093,Daylight,Kensington and Chelsea,-0.182398,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70691,Slight,3/12/2019,51.487635,Darkness - lights lit,Kensington and Chelsea,-0.17812,1,1,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70692,Slight,22/11/2019,51.485418,Darkness - lights lit,Kensington and Chelsea,-0.151418,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Goods over 3.5t. and under 7.5t
200701BS70694,Slight,30/11/2019,51.50526,Darkness - lights lit,Kensington and Chelsea,-0.213153,1,1,Wet or damp,Dual carriageway,Urban,Raining no high winds,Motorcycle over 500cc
200701BS70695,Slight,5/10/2019,51.515641,Daylight,Hammersmith and Fulham,-0.221683,1,2,Dry,Roundabout,Urban,Fine no high winds,Taxi/Private hire car
200701BS70696,Slight,14/12/2019,51.482608,Darkness - lights lit,Kensington and Chelsea,-0.178752,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70697,Slight,12/12/2019,51.505512,Daylight,Kensington and Chelsea,-0.21199,1,1,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70698,Slight,6/12/2019,51.495501,Daylight,Kensington and Chelsea,-0.175069,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Taxi/Private hire car
200701BS70699,Slight,8/12/2019,51.492396,Darkness - lights lit,Kensington and Chelsea,-0.166262,1,2,Wet or damp,Single carriageway,Urban,Other,Motorcycle over 500cc
200701BS70700,Slight,10/12/2019,51.508972,Daylight,Kensington and Chelsea,-0.197156,1,1,Wet or damp,Single carriageway,Urban,Fine + high winds,Car
200701BS70701,Slight,10/12/2019,51.489096,Daylight,Kensington and Chelsea,-0.19117,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70702,Slight,10/12/2019,51.491499,Darkness - lights lit,Kensington and Chelsea,-0.172204,1,2,Dry,Single carriageway,Urban,Fine + high winds,Taxi/Private hire car
200701BS70703,Slight,11/12/2019,51.49327,Daylight,Kensington and Chelsea,-0.176167,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70704,Slight,10/12/2019,51.507804,Daylight,Kensington and Chelsea,-0.20311,1,3,Wet or damp,Single carriageway,Urban,Raining no high winds,Taxi/Private hire car
200701BS70705,Slight,11/12/2019,51.496824,Daylight,Kensington and Chelsea,-0.167669,1,1,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70706,Slight,15/12/2019,51.483838,Darkness - lights lit,Kensington and Chelsea,-0.176831,1,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70707,Slight,12/11/2019,51.509605,Daylight,Kensington and Chelsea,-0.197419,1,2,Dry,Roundabout,Urban,Fine no high winds,Taxi/Private hire car
200701BS70708,Slight,29/11/2019,51.518002,Daylight,Kensington and Chelsea,-0.211357,2,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70709,Slight,6/12/2019,51.495658,Daylight,Kensington and Chelsea,-0.173622,3,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70710,Slight,23/11/2019,51.519928,Darkness - lights lit,Kensington and Chelsea,-0.225696,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70711,Slight,17/12/2019,51.49164,Daylight,Kensington and Chelsea,-0.198704,1,3,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70712,Slight,18/12/2019,51.485967,Daylight,Kensington and Chelsea,-0.180779,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70713,Slight,14/12/2019,51.506866,Darkness - lights lit,Kensington and Chelsea,-0.206462,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70715,Slight,20/12/2019,51.515955,Darkness - lights lit,Kensington and Chelsea,-0.212735,1,2,Wet or damp,Single carriageway,Urban,Other,Bus or coach (17 or more pass seats)
200701BS70716,Slight,24/12/2019,51.509795,Daylight,Kensington and Chelsea,-0.192224,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70718,Serious,3/12/2019,51.508882,Daylight,Kensington and Chelsea,-0.197159,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70720,Slight,20/11/2019,51.496257,Darkness - lights lit,Kensington and Chelsea,-0.20659,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Goods over 3.5t. and under 7.5t
200701BS70721,Slight,11/12/2019,51.493568,Daylight,Kensington and Chelsea,-0.16074,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70722,Slight,18/12/2019,51.494685,Daylight,Kensington and Chelsea,-0.168907,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70724,Slight,13/12/2019,51.481062,Darkness - lights lit,Kensington and Chelsea,-0.183423,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70725,Serious,30/11/2019,51.484887,Darkness - lights lit,Kensington and Chelsea,-0.174917,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70726,Slight,27/12/2019,51.517706,Daylight,Kensington and Chelsea,-0.209639,1,2,Wet or damp,Dual carriageway,Urban,Fine no high winds,Car
200701BS70727,Slight,22/12/2019,51.51508,Daylight,Kensington and Chelsea,-0.208445,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70728,Slight,21/12/2019,51.49344,Daylight,Kensington and Chelsea,-0.175584,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70729,Slight,10/12/2019,51.483422,Daylight,Kensington and Chelsea,-0.167486,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70730,Slight,28/11/2019,51.497434,Daylight,Kensington and Chelsea,-0.18378,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70733,Slight,22/12/2019,51.501578,Daylight,Westminster,-0.161138,1,2,Wet or damp,Dual carriageway,Urban,Other,Motorcycle over 500cc
200701BS70734,Slight,23/12/2019,51.498958,Daylight,Kensington and Chelsea,-0.160379,1,1,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70735,Slight,15/12/2019,51.489352,Darkness - lights lit,Kensington and Chelsea,-0.190296,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70737,Slight,27/12/2019,51.499129,Daylight,Kensington and Chelsea,-0.159796,1,1,Wet or damp,Single carriageway,Urban,Fine no high winds,Car
200701BS70738,Serious,21/12/2019,51.488351,Daylight,Kensington and Chelsea,-0.166424,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70744,Slight,29/12/2019,51.51944,Daylight,Kensington and Chelsea,-0.211301,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70745,Slight,29/06/2019,51.510076,Daylight,Kensington and Chelsea,-0.216423,1,2,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70747,Slight,31/12/2019,51.480718,Daylight,Kensington and Chelsea,-0.184445,1,1,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS79019,Slight,15/11/2019,51.485669,Darkness - lights lit,Kensington and Chelsea,-0.173157,1,2,Dry,One way street,Urban,Fine no high winds,Car
200701BS79023,Slight,24/12/2019,51.520192,Daylight,Kensington and Chelsea,-0.213434,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS79133,Slight,11/10/2019,51.495199,Daylight,Kensington and Chelsea,-0.196259,1,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701CP00001,Serious,5/1/2019,51.509814,Darkness - lights lit,Tower Hamlets,-0.074771,1,3,Wet or damp,Dual carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701CP00003,Slight,8/1/2019,51.510898,Daylight,City of London,-0.102684,1,2,Dry,Dual carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701CP00006,Slight,16/01/2019,51.515721,Daylight,City of London,-0.10061,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Taxi/Private hire car
200701CP00007,Slight,18/01/2019,51.509123,Darkness - lights lit,City of London,-0.087482,1,2,Wet or damp,Dual carriageway,Urban,Raining + high winds,Van / Goods 3.5 tonnes mgw or under
200701CP00008,Serious,17/01/2019,51.518599,Daylight,City of London,-0.100634,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle 125cc and under
200701CP00010,Slight,23/01/2019,51.508932,Darkness - lights lit,City of London,-0.081293,2,2,Dry,Dual carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701CP00011,Slight,22/01/2019,51.513119,Daylight,City of London,-0.089909,1,2,Wet or damp,Single carriageway,Urban,Raining + high winds,Van / Goods 3.5 tonnes mgw or under
200701CP00013,Slight,19/01/2019,51.517443,Darkness - lights lit,City of London,-0.084827,1,1,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701CP00014,Slight,21/01/2019,51.514074,Daylight,City of London,-0.104426,2,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701CP00015,Slight,20/01/2019,51.51613,Daylight,City of London,-0.081567,2,1,Dry,Dual carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701CP00016,Slight,19/01/2019,51.51693,Darkness - lights lit,City of London,-0.080957,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701CP00017,Slight,17/01/2019,51.510601,Daylight,City of London,-0.084394,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Bus or coach (17 or more pass seats)
200701CP00018,Slight,15/01/2019,51.513299,Daylight,City of London,-0.089901,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701CP00019,Slight,18/01/2019,51.513804,Daylight,City of London,-0.104437,1,1,Wet or damp,Dual carriageway,Urban,Fine + high winds,Bus or coach (17 or more pass seats)
200701CP00020,Slight,10/1/2019,51.514254,Darkness - lights lit,City of London,-0.104418,1,3,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701CP00021,Slight,23/01/2019,51.514095,Darkness - lights lit,City of London,-0.094624,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701CP00022,Slight,23/01/2019,51.520812,Daylight,City of London,-0.092902,1,2,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701CP00023,Slight,24/01/2019,51.515181,Daylight,City of London,-0.089534,1,1,Wet or damp,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701CP00024,Slight,25/01/2019,51.513736,Daylight,City of London,-0.111358,1,2,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701CP00025,Slight,25/01/2019,51.516345,Darkness - lights lit,City of London,-0.08372,1,2,Dry,Dual carriageway,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200701CP00026,Slight,26/01/2019,51.511786,Daylight,City of London,-0.085353,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701CP00027,Slight,26/01/2019,51.511557,Darkness - lights lit,City of London,-0.082336,1,1,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701CP00028,Slight,27/01/2019,51.513955,Darkness - lights lit,City of London,-0.075029,1,3,Dry,Single carriageway,Urban,Fine no high winds,Car
200701CP00029,Slight,31/01/2019,51.517593,Darkness - lights lit,City of London,-0.105144,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701CP00030,Slight,30/01/2019,51.514121,Darkness - lights lit,City of London,-0.107306,1,1,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701CP00031,Slight,29/01/2019,51.517275,Daylight,City of London,-0.096653,2,3,Dry,Roundabout,Urban,Fine no high winds,Taxi/Private hire car
200701CP00032,Fatal,30/01/2019,51.510978,Daylight,City of London,-0.107581,1,2,Wet or damp,Dual carriageway,Urban,Fine no high winds,Car
200701CP00033,Slight,1/1/2019,51.513211,Darkness - lights lit,City of London,-0.090049,1,3,Wet or damp,Single carriageway,Urban,Fine no high winds,Car
200701CP00034,Slight,24/01/2019,51.51248,Darkness - lights lit,City of London,-0.094836,1,2,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701CP00035,Serious,25/01/2019,51.513219,Daylight,City of London,-0.079528,1,1,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701CP00036,Slight,1/2/2019,51.510818,Darkness - lights lit,City of London,-0.08669,1,1,Wet or damp,Dual carriageway,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200701CP00037,Slight,3/2/2019,51.51065,Daylight,City of London,-0.092894,1,2,Dry,Dual carriageway,Urban,Fine no high winds,Car
200701CP00038,Slight,7/2/2019,51.511583,Daylight,City of London,-0.08392,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701CP00039,Slight,12/2/2019,51.510821,Daylight,City of London,-0.086834,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Bus or coach (17 or more pass seats)
200701CP00040,Slight,12/2/2019,51.518616,Daylight,City of London,-0.079589,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
