Index,Accident_Severity,Accident Date,Latitude,Light_Conditions,District Area,Longitude,Number_of_Casualties,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200701BS70346,Slight,23/06/2019,51.483422,Darkness - lights lit,Kensington and Chelsea,-0.167486,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70347,Slight,24/06/2019,51.508564,Daylight,Kensington and Chelsea,-0.19991,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200701BS70348,Slight,30/06/2019,51.490681,Daylight,Kensington and Chelsea,-0.183184,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70349,Slight,7/7/2019,51.501656,Daylight,Westminster,-0.160415,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 50cc and under
200701BS70350,Slight,22/06/2019,51.485178,Daylight,Kensington and Chelsea,-0.187868,1,3,Dry,One way street,Urban,Fine no high winds,Car
200701BS70351,Slight,5/7/2019,51.499024,Daylight,Kensington and Chelsea,-0.164555,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70352,Slight,6/7/2019,51.492137,Daylight,Kensington and Chelsea,-0.178517,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70353,Slight,2/7/2019,51.49725,Daylight,Kensington and Chelsea,-0.206839,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Taxi/Private hire car
200701BS70354,Slight,2/7/2019,51.522162,Daylight,Kensington and Chelsea,-0.212924,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70355,Slight,16/05/2019,51.499355,Daylight,Kensington and Chelsea,-0.197535,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70356,Slight,1/7/2019,51.50888,Daylight,Kensington and Chelsea,-0.197015,1,1,Dry,Dual carriageway,Urban,Fine no high winds,Car
200701BS70357,Slight,2/7/2019,51.49566,Daylight,Kensington and Chelsea,-0.173766,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70358,Slight,4/7/2019,51.484274,Daylight,Kensington and Chelsea,-0.17595,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70359,Slight,4/7/2019,51.496381,Daylight,Kensington and Chelsea,-0.173881,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70360,Slight,4/7/2019,51.495361,Daylight,Kensington and Chelsea,-0.177668,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70361,Slight,27/06/2019,51.503133,Daylight,Kensington and Chelsea,-0.191767,1,1,Wet or damp,Single carriageway,Urban,Fine no high winds,Car
200701BS70362,Slight,15/06/2019,51.497628,Daylight,Kensington and Chelsea,-0.167348,2,2,Dry,Dual carriageway,Urban,Other,Taxi/Private hire car
200701BS70363,Slight,15/07/2019,51.49747,Darkness - lights lit,Kensington and Chelsea,-0.197754,1,1,Dry,One way street,Urban,Fine no high winds,Car
